Date,apparent_temperature_max,daylight_hours,precipitation_hours
2023-12-17,52.5,9.3,6.0
2023-12-18,58.9,9.3,18.0
2023-12-19,31.7,9.2,0.0
2023-12-20,37.4,9.2,0.0
2023-12-21,30.5,9.2,0.0
2023-12-22,30.4,9.2,0.0
2023-12-23,36.8,9.2,0.0
2023-12-24,45.0,9.2,3.0
2023-12-25,45.3,9.3,0.0
2023-12-26,45.1,9.3,0.0
2023-12-27,42.3,9.3,12.0
2023-12-28,50.3,9.3,15.0
2023-12-29,49.0,9.3,0.0
2023-12-30,40.2,9.3,0.0
2023-12-31,34.7,9.3,0.0
