date,apparent_temperature_max,daylight_duration,precipitation_hours
2023-10-20 01:00:00-04:00,64.9124,39355.152,15.0
2023-10-21 01:00:00-04:00,63.627953,39201.61,12.0
2023-10-22 01:00:00-04:00,48.24466,39049.383,0.0
2023-10-23 01:00:00-04:00,56.57288,38898.6,0.0
2023-10-24 01:00:00-04:00,61.32938,38749.41,0.0
2023-10-25 01:00:00-04:00,70.7518,38601.477,0.0
2023-10-26 01:00:00-04:00,79.783905,38453.605,0.0
2023-10-27 01:00:00-04:00,75.871895,38305.855,0.0
2023-10-28 01:00:00-04:00,81.69404,38158.35,0.0
2023-10-29 01:00:00-04:00,59.111084,38011.24,9.0
2023-10-30 01:00:00-04:00,57.774677,37864.652,9.0
2023-10-31 01:00:00-04:00,46.24362,37718.73,0.0
2023-11-01 01:00:00-04:00,43.708843,37573.625,3.0
2023-11-02 01:00:00-04:00,42.552513,37429.48,0.0
2023-11-03 01:00:00-04:00,48.00537,37286.445,0.0
2023-11-04 01:00:00-04:00,55.63176,37144.664,0.0
2023-11-05 01:00:00-04:00,60.45584,37004.3,0.0
2023-11-06 00:00:00-05:00,51.87642,36865.52,0.0
2023-11-07 00:00:00-05:00,61.751846,36728.477,3.0
2023-11-08 00:00:00-05:00,46.838223,36593.332,0.0
2023-11-09 00:00:00-05:00,55.09354,36460.26,0.0
2023-11-10 00:00:00-05:00,45.74549,36329.434,0.0
2023-11-11 00:00:00-05:00,46.997963,36201.027,0.0
2023-11-12 00:00:00-05:00,39.019684,36075.22,0.0
2023-11-13 00:00:00-05:00,41.70827,35952.184,0.0
2023-11-14 00:00:00-05:00,44.220737,35831.637,0.0
2023-11-15 00:00:00-05:00,46.18706,35712.402,0.0
2023-11-16 00:00:00-05:00,61.13341,35594.54,0.0
2023-11-17 00:00:00-05:00,62.014057,35478.188,0.0
2023-11-18 00:00:00-05:00,59.15086,35363.492,0.0
2023-11-19 00:00:00-05:00,47.337395,35250.605,0.0
2023-11-20 00:00:00-05:00,36.49927,35139.676,0.0
2023-11-21 00:00:00-05:00,38.477844,35030.844,9.0
2023-11-22 00:00:00-05:00,48.65943,34924.277,9.0
2023-11-23 00:00:00-05:00,45.054787,34820.125,0.0
2023-11-24 00:00:00-05:00,41.402626,34718.55,0.0
2023-11-25 00:00:00-05:00,34.35557,34619.72,0.0
2023-11-26 00:00:00-05:00,44.42826,34523.78,6.0
2023-11-27 00:00:00-05:00,46.216637,34430.91,3.0
2023-11-28 00:00:00-05:00,26.486292,34341.266,0.0
2023-11-29 00:00:00-05:00,27.542774,34255.023,0.0
2023-11-30 00:00:00-05:00,42.764095,34172.35,0.0
2023-12-01 00:00:00-05:00,42.832535,34093.414,9.0
2023-12-02 00:00:00-05:00,57.259125,34018.39,3.0
2023-12-03 00:00:00-05:00,46.497845,33947.45,18.0
2023-12-04 00:00:00-05:00,43.606453,33880.434,3.0
2023-12-05 00:00:00-05:00,35.659718,33816.574,0.0
2023-12-06 00:00:00-05:00,32.636482,33755.887,0.0
2023-12-07 00:00:00-05:00,29.957289,33698.453,0.0
2023-12-08 00:00:00-05:00,43.16595,33644.344,0.0
2023-12-09 00:00:00-05:00,55.217003,33593.63,0.0
2023-12-10 00:00:00-05:00,57.59657,33546.387,9.0
2023-12-11 00:00:00-05:00,42.821625,33502.688,15.0
2023-12-12 00:00:00-05:00,34.65065,33462.605,0.0
2023-12-13 00:00:00-05:00,37.49485,33426.207,0.0
2023-12-14 00:00:00-05:00,32.386692,33393.56,0.0
2023-12-15 00:00:00-05:00,51.158203,33364.734,0.0
2023-12-16 00:00:00-05:00,49.17723,33339.797,0.0
2023-12-17 00:00:00-05:00,52.49688,33318.812,6.0
2023-12-18 00:00:00-05:00,58.898155,33301.844,18.0
2023-12-19 00:00:00-05:00,31.726383,33288.953,0.0
2023-12-20 00:00:00-05:00,37.439537,33280.195,0.0
2023-12-21 00:00:00-05:00,30.455872,33275.633,0.0
2023-12-22 00:00:00-05:00,30.351564,33275.312,0.0
2023-12-23 00:00:00-05:00,36.792206,33279.293,0.0
2023-12-24 00:00:00-05:00,45.024883,33287.64,3.0
2023-12-25 00:00:00-05:00,45.28479,33300.383,0.0
2023-12-26 00:00:00-05:00,45.114723,33317.453,0.0
2023-12-27 00:00:00-05:00,42.348118,33338.777,12.0
2023-12-28 00:00:00-05:00,50.300644,33364.28,15.0
2023-12-29 00:00:00-05:00,49.002728,33393.88,0.0
2023-12-30 00:00:00-05:00,40.224113,33427.5,0.0
2023-12-31 00:00:00-05:00,34.66259,33465.05,0.0
